Date	pe_ratio	market_cap	ps_ratio	usd_can	usd_gbp	usd_japan	usd_china	usd_euro	csi	usd_exports	industrial_production	gold	oil	cpi
2017-06-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	244.163
2017-12-27	18.5435	867851.7536	3.9084	1.2634	0.7448	113.2409	6.5553	0.8402	NaN	NaN	NaN	0.011703305393009789	NaN	NaN
2018-01-12	18.2004	899909.5756	3.8569	1.2519	0.7332	111.1313	6.461	0.8244	NaN	NaN	NaN	0.002796462852392212	NaN	NaN
2018-01-15	NaN	NaN	NaN	1.2432	0.7253	110.6215	6.4381	NaN	NaN	NaN	NaN	0.009421163702140412	NaN	NaN
2018-01-22	18.1912	898100.301	3.855	1.2477	0.7197	110.8424	6.4036	0.8177	NaN	NaN	NaN	-0.0017977528089888617	NaN	NaN
2018-01-24	17.9054	883994.5449	3.7944	1.2329	0.7058	109.3993	6.373	0.8071	NaN	NaN	NaN	0.015224238788060562	NaN	NaN
2018-01-29	17.2621	852231.2235	3.6581	1.2335	0.7104	108.8537	6.3319	0.8096	NaN	NaN	NaN	-0.006872598285545317	NaN	NaN
2018-02-13	16.89	833863.2964	3.5792	1.2604	0.7211	107.6948	6.3443	0.8089	NaN	NaN	NaN	0.002344399909249173	NaN	NaN
2018-02-19	NaN	NaN	NaN	1.2564	0.7139	106.5592	6.3444	NaN	NaN	NaN	NaN	-0.0040677464684564235	NaN	NaN
2018-02-23	18.037	890489.2815	3.8223	1.2695	0.715	106.7404	6.335	0.8131	NaN	NaN	NaN	-0.0003011141222524216	NaN	NaN
2018-02-28	18.3063	903783.1956	3.8794	1.2779	0.7239	107.0247	6.3276	0.8189	99.7	205607.0	101.6495	-0.005958666465530116	-0.017188755020080326	NaN
2018-03-07	17.9887	888104.4954	3.8121	1.2931	0.7209	105.8307	6.3207	0.8066	NaN	NaN	NaN	-0.0015021781583295368	NaN	NaN
2018-03-21	17.6023	869026.2065	3.7302	1.298	0.7114	106.2185	6.33	0.8151	NaN	NaN	NaN	0.007932875667429506	NaN	NaN
2018-03-29	17.2436	851317.9011	3.6542	1.2901	0.7101	106.4443	6.2875	0.8132	NaN	NaN	NaN	-0.006454033771106871	NaN	NaN
2018-04-09	16.4141	840605.1041	3.5471	1.2781	0.7078	107.0059	6.3139	0.8117	NaN	NaN	NaN	0.0006009615384614531	NaN	NaN
2018-04-16	16.971	869127.8412	3.6674	1.2608	0.699	107.3323	6.2834	0.8082	NaN	NaN	NaN	0.004242018307657913	NaN	NaN
2018-04-20	15.9961	814536.6694	3.4567	1.2639	0.7117	107.5717	6.2921	0.8142	NaN	NaN	NaN	-0.008749814622571517	NaN	NaN
2018-04-25	15.7963	804362.3337	3.4136	1.2888	0.7171	109.1752	6.3232	0.8212	NaN	NaN	NaN	-0.005418014899540968	NaN	NaN
2018-05-09	18.0849	920900.2557	3.9081	1.2879	0.7361	109.6389	6.3665	0.8437	NaN	NaN	NaN	0.005587019745905586	NaN	NaN
2018-05-10	18.3436	934072.8255	3.964	1.2773	0.7393	109.6313	6.3495	0.8406	NaN	NaN	NaN	0.0037293553542887548	NaN	NaN
2018-05-15	17.9961	916378.3287	3.8889	1.2836	0.7397	110.048	6.3625	0.8429	NaN	NaN	NaN	-0.0188650655352679	NaN	NaN
2018-05-18	17.9836	915739.3608	3.8862	1.2795	0.7412	110.9329	6.3787	0.8493	NaN	NaN	NaN	-0.0009305932531989969	NaN	NaN
2018-05-21	18.111	922227.3429	3.9138	1.2874	0.7453	111.268	6.3863	0.8498	NaN	NaN	NaN	7.762167197089553e-05	NaN	NaN
2018-05-22	18.0656	919917.2281	3.9039	1.2774	0.7435	110.8191	6.3687	0.8487	NaN	NaN	NaN	0.003647935423781279	NaN	NaN
2018-05-23	18.1815	925815.3937	3.929	1.2905	0.7512	109.848	6.3885	0.8552	NaN	NaN	NaN	-0.0031706751218002482	NaN	NaN
2018-06-05	18.6593	950145.3268	4.0322	1.2983	0.7485	109.7045	6.4043	0.8568	NaN	NaN	NaN	-0.002624469316866107	NaN	NaN
2018-06-14	18.417	937808.3304	3.9799	1.2977	0.7475	110.1023	6.3946	0.8596	NaN	NaN	NaN	0.005091806819935041	NaN	NaN
2018-06-18	18.2181	927683.1461	3.9369	1.3181	0.7548	110.4538	6.4393	0.8616	NaN	NaN	NaN	-0.002878705360616185	NaN	NaN
2018-06-19	17.9237	912691.9752	3.8733	1.3282	0.7603	109.9185	6.4821	0.8638	NaN	NaN	NaN	-0.004213483146067287	NaN	NaN
2018-06-22	17.8494	908907.319	3.8572	1.3272	0.7526	110.1477	6.498	0.8599	NaN	NaN	NaN	0.002369293950402751	NaN	NaN
2018-06-29	17.8678	909841.1952	3.8612	1.3246	0.76	110.6879	6.6195	0.8564	NaN	NaN	NaN	-0.0008788750399487677	NaN	NaN
2018-07-03	16.6745	890709.2946	3.663	1.3154	0.7574	110.6644	6.6422	0.8581	NaN	NaN	NaN	0.0032056419297963323	NaN	NaN
2018-07-09	17.2783	922963.1219	3.7957	1.3076	0.7494	110.4504	6.6135	0.8515	NaN	NaN	NaN	0.005336944400190946	NaN	NaN
2018-07-12	17.3191	925142.4345	3.8046	1.3183	0.7571	112.4807	6.6718	0.8553	NaN	NaN	NaN	-0.0043950775131852415	NaN	NaN
2018-07-17	17.3572	927176.4596	3.813	1.3157	0.7579	112.5908	6.6904	0.8573	NaN	NaN	NaN	-0.006687615824671589	NaN	NaN
2018-07-23	17.3563	924641.0334	3.8128	1.3133	0.7611	111.113	6.7863	0.8546	NaN	NaN	NaN	-0.0030924479166666297	NaN	NaN
2018-07-30	17.2176	917251.2467	3.7823	1.3048	0.7623	111.0835	6.8223	0.8534	NaN	NaN	NaN	-0.00016339869281045694	NaN	NaN
2018-08-02	18.8024	1001678.3531	4.1304	1.3036	0.7674	111.4143	6.845	0.8612	NaN	NaN	NaN	-0.0028712059064807116	NaN	NaN
2018-08-07	18.777	1000325.9739	4.1249	1.2969	0.7713	111.0843	6.8239	0.8623	NaN	NaN	NaN	0.002231958336777806	NaN	NaN
2018-08-16	19.34	1030319.8143	4.2485	1.3142	0.7871	110.8355	6.895	0.8781	NaN	NaN	NaN	-0.00135363790186116	NaN	NaN
2018-08-17	19.7262	1050895.2991	4.3334	1.3147	0.7864	110.3942	6.8844	0.8764	NaN	NaN	NaN	-0.001694340901389313	NaN	NaN
2018-08-21	19.4959	1038627.287	4.2828	1.3022	0.7802	110.4243	6.8465	0.867	NaN	NaN	NaN	0.005572441742654366	NaN	NaN
2018-08-22	19.4968	1038675.5863	4.283	1.3022	0.7742	110.2617	6.8414	0.8624	NaN	NaN	NaN	0.004785894206549068	NaN	NaN
2018-08-23	19.5367	1040800.7537	4.2918	1.3031	0.7762	110.8127	6.8782	0.8645	NaN	NaN	NaN	-0.003593214673685896	NaN	NaN
2018-08-24	19.5975	1044036.8042	4.3051	1.3068	0.7784	111.2962	6.8455	0.8602	NaN	NaN	NaN	0.004444817175444538	NaN	NaN
2018-08-29	20.2158	1076976.8995	4.4409	1.2944	0.7762	111.2607	6.829	0.8548	NaN	NaN	NaN	-0.006681514476614581	NaN	NaN
2018-09-04	20.7035	1102961.9014	4.5481	1.3176	0.7789	111.2264	6.8396	0.8646	NaN	NaN	NaN	-0.0076660278310138885	NaN	NaN
